SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Paxten Aaronson,us USA,FWMF,Philadelphia,18-309,2003,2.1,4,1.89,2,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches,4cd41883
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27-188,1994,14.0,10,0.71,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,4a67f05b
3,Nicolás Acevedo,uy URU,MFDF,NYCFC,23-078,1999,11.5,10,0.87,7,3,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,6140be7b
4,Ifunanyachi Achara,us USA,FWMF,Toronto FC,24-276,1997,2.6,4,1.51,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d31bf83e
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28-219,1993,7.6,18,2.35,11,7,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches,c5f400f4
6,George Acosta,us USA,MF,Inter Miami,22-163,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,409d5b26
7,Kellyn Acosta,us USA,MFDF,Los Angeles FC,26-342,1995,14.2,35,2.46,21,11,0,1,1,1,1,0.07,1,0,0,0,0,0,Matches,ece10cfe
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,28-031,1994,15.1,91,6.04,67,11,4,1,2,6,13,0.86,11,0,0,1,0,1,Matches,363ba6d7
9,Mo Adams,eng ENG,MF,Inter Miami,25-281,1996,3.9,1,0.25,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,00362ef7
10,Samuel Adeniran,us USA,FWMF,Seattle,23-274,1998,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,86429529
11,Harrison Afful,gh GHA,DFMF,Charlotte FC,35-342,1986,4.8,6,1.24,5,1,0,0,0,0,2,0.41,1,1,0,0,0,0,Matches,7d8ede09
12,Oskar Ågren,se SWE,DF,San Jose,23-294,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5ad77e97
13,Daniel Aguirre,us USA,MFFW,LA Galaxy,22-364,1999,1.4,2,1.44,2,0,0,0,0,0,1,0.72,1,0,0,0,0,0,Matches,ecc5063f
14,Ali Ahmed,ca CAN,DF,Vancouver,21-264,2000,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,540a5be1
15,Arnaud Ake,ci CIV,FW,Nashville,24-091,1998,3.0,8,2.67,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,3402bb17
16,Tesho Akindele,ca CAN,FW,Orlando City,30-092,1992,2.6,5,1.94,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,897304e5
17,Ayo Akinola,ca CAN,FW,Toronto FC,22-162,2000,5.1,8,1.57,5,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches,214d2406
18,Jordy Alcivar,ec ECU,MF,Charlotte FC,22-330,1999,9.9,40,4.03,21,15,0,2,2,0,4,0.40,3,0,0,1,0,0,Matches,6e98c19f
19,Caio Alexandre,br BRA,MF,Vancouver,23-127,1999,0.7,2,2.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,08ac23b7
20,Tony Alfaro,us USA,DF,D.C. United,29-016,1993,3.2,3,0.95,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4118b12a
21,Noah Allen,us USA,DFMF,Inter Miami,18-064,2004,3.5,4,1.14,4,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches,043f389a
22,Thiago Almada,ar ARG,FWMF,Atlanta Utd,21-066,2001,9.9,43,4.36,32,4,2,4,1,0,3,0.30,3,0,0,0,0,0,Matches,27f33438
23,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36-232,1985,3.7,7,1.90,6,1,0,0,0,0,2,0.54,2,0,0,0,0,0,Matches,8449bfda
24,Jozy Altidore,us USA,FW,New England,32-237,1989,5.5,8,1.46,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8db8ad1e
25,Efrain Alvarez,mx MEX,FWMF,LA Galaxy,20-012,2002,10.0,38,3.81,27,6,2,2,1,0,2,0.20,1,0,0,0,1,0,Matches,3cd08ab7
26,Luis Amarilla,py PAR,FW,Minnesota Utd,26-310,1995,10.7,21,1.96,18,1,1,1,0,0,2,0.19,2,0,0,0,0,0,Matches,fa66adb6
27,Frankie Amaya,us USA,MF,NY Red Bulls,21-278,2000,16.2,38,2.34,18,13,2,2,1,2,7,0.43,4,1,0,1,0,1,Matches,2e8bd00c
28,Mikey Ambrose,us USA,DF,Atlanta Utd,28-269,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f649d6aa
29,Malte Amundsen,dk DEN,DF,NYCFC,24-140,1998,10.6,23,2.17,19,2,1,1,0,0,1,0.09,0,0,0,1,0,0,Matches,83b6e15d
30,Max Anchor,ca CAN,GK,Vancouver,17-345,2004,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d6aa8848
31,Sebastian Anderson,us USA,DF,Colorado Rapids,19-327,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3a9911ce
32,José Andrés Martínez,ve VEN,MF,Philadelphia,27-328,1994,15.6,7,0.45,4,0,0,2,1,0,1,0.06,0,0,0,1,0,0,Matches,c8364e8e
33,Jalil Anibaba,us USA,DF,Columbus Crew,33-255,1988,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e44593b0
34,Themi Antonoglou,ca CAN,DF,Toronto FC,21-029,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b137ee51
35,Brian Anunga,cm CMR,MF,Nashville,25-325,1996,5.7,2,0.35,1,1,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches,17b28ec7
36,Cristian Arango,co COL,FW,Los Angeles FC,27-114,1995,11.8,29,2.46,14,0,2,3,7,3,3,0.25,3,0,0,0,0,0,Matches,fea9401e
